AccountName,SafeName,AccountType,Environment,RiskLevel,RotationFrequency,RotationTrigger,ApprovalRequired,ValidationRequired,OwnerTeam,Notes
win-prod-localadmin,SAFE-WIN-PROD-ADMINS,Windows Local Administrator,Production,High,Every 30 days,Scheduled rotation or after privileged use,Yes,Yes,Windows Server Team,Rotate after emergency use or suspected exposure
win-prod-sqladmin,SAFE-WIN-PROD-ADMINS,Windows Local Administrator,Production,High,Every 30 days,Scheduled rotation or after privileged use,Yes,Yes,Windows Server Team,Production admin account requires monthly validation
linux-prod-root,SAFE-LINUX-PROD-ROOT,Linux Root,Production,High,Every 30 days,Scheduled rotation or after privileged use,Yes,Yes,Linux Team,Root account requires strict monitoring and validation
sql-prod-dba,SAFE-DBA-PROD,Database Administrator,Production,High,Every 30 days,Scheduled rotation or after privileged use,Yes,Yes,Database Team,Coordinate with DBA owner before rotation
net-fw-admin,SAFE-NETWORK-ADMINS,Network Device Administrator,Production,High,Every 30 days,Scheduled rotation or after privileged use,Yes,Yes,Network Team,Rotate after firewall maintenance or privileged use
net-switch-admin,SAFE-NETWORK-ADMINS,Network Device Administrator,Production,High,Every 30 days,Scheduled rotation or after privileged use,Yes,Yes,Network Team,Rotate after network maintenance window
appsvc-prod-payroll,SAFE-APP-SERVICE-ACCOUNTS,Application Service Account,Production,Medium,Planned quarterly rotation,Maintenance window or owner-approved change,Yes,Yes,Application Team,Requires application owner coordination to avoid outage
appsvc-prod-hr,SAFE-APP-SERVICE-ACCOUNTS,Application Service Account,Production,Medium,Planned quarterly rotation,Maintenance window or owner-approved change,Yes,Yes,Application Team,Requires testing before production rotation
breakglass-admin01,SAFE-BREAKGLASS,Break-Glass Administrator,Production,Critical,After every use and monthly review,Emergency use or scheduled review,Yes,Yes,IAM Security Team,Rotate immediately after any emergency use
cloud-admin-prod,SAFE-CLOUD-ADMINS,Cloud Administrator,Cloud,High,Every 30 days,Scheduled rotation or after privileged use,Yes,Yes,Cloud IAM Team,Review activity during monthly privileged access review
win-nonprod-localadmin,SAFE-WIN-NONPROD-ADMINS,Windows Local Administrator,Non-Production,Medium,Every 60 to 90 days,Scheduled rotation,No,Yes,Windows Server Team,Lower risk but still requires documented rotation
vendor-prod-admin,SAFE-VENDOR-ACCESS,Vendor Privileged Account,Production,High,After each approved vendor use,Vendor access session completed,Yes,Yes,Application Team,Rotate after vendor or contractor privileged access
